Time;Cube Type;Cube Pos;;;Cube Rot;;;Controller Pos;;;Controller Rot;;;Controller Velocity;;;Controller Acceleration;;;Controller Angular Velocity;;;Controller Angular Acceleration;;
142,4135;1;-0,002131462;0;-45,35757;4,829673E-06;4,829673E-06;90;0,4679897;1,78236;-0,3580399;341,6552;95,56399;19,25463;0,01542026;0,7939939;-1,089552;-1,880413;-5,177055;-5,533471;-1,373823;5,699025;-1,883039;12,30489;90,38828;4,564797
142,9377;1;-0,002116203;0;-45,43704;-3,9207E-06;9,465408E-06;225;0,4191842;1,824019;-0,173988;347,1675;79,64943;52,89898;-0,3734564;1,567651;0,8371775;-6,416418;10,03668;-10,33088;-6,869224;5,085666;-2,416151;-20,38231;107,3282;-11,81174
143,4134;1;-0,002096176;0;-45,29715;-4,732704E-06;1,96035E-06;315;0,5284266;1,708163;-0,2748696;357,9791;111,3709;17,58085;0,6033386;-1,469396;1,105268;-3,334911;-5,745182;18,42383;2,830835;-6,110407;1,646157;6,255325;-111,5526;76,92088
143,4503;1;-0,002106667;0;-45,37198;-4,732704E-06;1,96035E-06;315;0,5320012;1,637511;-0,1920305;11,31142;89,06438;25,91649;0,2941988;-1,657484;1,71921;-14,76856;-3,800718;13,6049;1,71879;-9,993199;2,378017;-48,01377;-96,79823;6,734983
144,4764;1;-0,002100945;0;-45,33448;0;1,366038E-05;180;0,490238;1,237331;-0,02564452;36,70365;88,66196;29,51093;1,444236;1,723134;0,2925227;-2,083946;22,6792;-2,333182;-5,410043;2,494433;-0,7981012;-57,42216;26,55945;-9,744393
144,526;1;-0,002116203;0;-45,43314;0;1,366038E-05;180;0,5355093;1,402164;-0,03015411;9,634371;93,28676;24,78355;0,9555095;2,812035;-0,01757706;-17,96948;15,5186;-7,868248;-7,095093;4,929898;-1,464752;-19,11365;50,06617;-20,09018
145,9391;1;-0,002144814;0;-45,45832;4,829673E-06;4,829673E-06;90;0,4293003;1,2643;0,1888323;22,54568;45,69125;352,0298;1,120956;-0,03725376;-1,188665;3,290971;-3,141608;-15,73539;-0,5550804;4,633955;-0,8134122;18,47576;52,21136;-15,40446
145,9892;1;-0,002160072;0;-45,55764;4,829673E-06;4,829673E-06;90;0,4934821;1,259189;0,07315669;24,13106;75,28035;359,0226;1,138786;-0,06003125;-2,059483;-5,203635;1,740548;-19,01997;-0,6256648;8,512871;-0,6103291;-19,36897;88,75899;13,5793
146,4372;1;-0,002120018;0;-45,36351;-4,732704E-06;1,96035E-06;315;0,5444689;1,500248;-0,01799641;2,907464;96,58298;23,43302;0,2780835;-0,7765886;1,988776;-7,411532;-13,17276;15,14961;0,3121033;-6,514221;1,037508;19,41622;-118,0119;-13,21832
146,4877;1;-0,002135277;0;-45,46415;-4,732704E-06;1,96035E-06;315;0,5039761;1,410841;0,1229541;27,4359;67,85331;31,32957;-0,4970913;-1,442885;2,496361;-24,72434;-10,27639;0,3765876;1,659746;-11,10085;3,243233;18,30939;-69,41323;58,33393
