Time;Heart Rate
142,6376;0
142,6503;0
142,6642;0
142,6741;0
142,6863;0
142,6997;0
142,7117;0
142,7247;0
142,737;0
142,7495;0
142,7621;0
142,7752;0
142,7873;0
142,7996;0
142,8126;0
142,8247;0
142,8373;0
142,8497;0
142,8631;0
142,875;0
142,8879;0
142,9001;0
142,9125;0
142,9253;0
142,9377;0
142,9522;0
142,9625;0
142,9748;0
142,9874;0
143,0005;0
143,0126;0
143,025;0
143,0382;0
143,0502;0
143,0623;0
143,075;0
143,0878;0
143,1009;0
143,1131;0
143,1253;0
143,1375;0
143,15;0
143,1626;0
143,1756;0
143,1878;0
143,2003;0
143,2128;0
143,2253;0
143,2384;0
143,2503;0
143,2631;0
143,2755;0
143,288;0
143,3005;0
143,3131;0
143,3255;0
143,3385;0
143,3509;0
143,3631;0
143,3756;0
143,3879;0
143,4008;0
143,4134;0
143,4279;0
143,4382;0
143,4503;0
143,4653;0
143,4754;0
143,4874;0
143,5005;0
143,5129;0
143,5252;0
143,5378;0
143,5503;0
143,5629;0
143,5762;0
143,5883;0
143,6003;0
143,613;0
143,6253;0
143,6383;0
143,6505;0
143,6633;0
143,6756;0
143,6888;0
143,7006;0
143,7133;0
143,7257;0
143,7383;0
143,7507;0
143,763;0
143,7756;0
143,7882;0
143,8009;0
143,8135;0
143,8257;0
143,8384;0
143,851;0
143,8635;0
143,876;0
143,8883;0
143,9007;0
143,9134;0
143,9262;0
143,9402;0
143,9508;0
143,9631;0
143,9763;0
143,9884;0
144,0013;0
144,0139;0
144,0262;0
144,0385;0
144,0511;0
144,0632;0
144,0758;0
144,0888;0
144,1011;0
144,1132;0
144,1259;0
144,1386;0
144,1513;0
144,164;0
144,1761;0
144,1884;0
144,2011;0
144,2137;0
144,2264;0
144,2385;0
144,2511;0
144,264;0
144,2763;0
144,2888;0
144,3012;0
144,3136;0
144,3267;0
144,3387;0
144,3512;0
144,3637;0
144,3769;0
144,3889;0
144,4012;0
144,4138;0
144,4261;0
144,4388;0
144,4513;0
144,4641;0
144,4764;0
144,4912;0
144,5019;0
144,5134;0
144,526;0
144,5407;0
144,5513;0
144,5632;0
144,5757;0
144,5883;0
144,601;0
144,6134;0
144,6265;0
144,6383;0
144,6517;0
144,6636;0
144,6765;0
144,6885;0
144,7015;0
144,7137;0
144,7273;0
144,7388;0
144,7511;0
144,7637;0
144,7771;0
144,7886;0
144,8009;0
144,8139;0
144,8264;0
144,8392;0
144,8515;0
144,8639;0
144,8765;0
144,8892;0
144,9012;0
144,9139;0
144,9264;0
144,9395;0
144,9522;0
144,9645;0
144,9763;0
144,9887;0
145,0012;0
145,0145;0
145,0266;0
145,039;0
145,052;0
145,0639;0
145,0764;0
145,0888;0
145,1015;0
145,1139;0
145,129;0
145,1391;0
145,1511;0
145,1634;0
145,1789;0
145,1888;0
145,2007;0
145,2144;0
145,226;0
145,239;0
145,2513;0
145,2634;0
145,2762;0
145,289;0
145,3011;0
145,3134;0
145,3262;0
145,3394;0
145,3515;0
145,3637;0
145,3766;0
145,3889;0
145,4013;0
145,414;0
145,4265;0
145,4396;0
145,4522;0
145,4637;0
145,4768;0
145,4888;0
145,5018;0
145,514;0
145,5272;0
145,5389;0
145,5513;0
145,5642;0
145,5769;0
145,5897;0
145,6014;0
145,6144;0
145,6266;0
145,6392;0
145,6517;0
145,6641;0
145,6764;0
145,6896;0
145,7016;0
145,7141;0
145,7265;0
145,7391;0
145,7525;0
145,7645;0
145,7767;0
145,7891;0
145,8016;0
145,8145;0
145,8268;0
145,8389;0
145,8523;0
145,8646;0
145,8767;0
145,8888;0
145,9019;0
145,9142;0
145,927;0
145,9391;0
145,9536;0
145,9638;0
145,9766;0
145,9892;0
146,0038;0
146,014;0
146,0261;0
146,0416;0
146,0563;0
146,0811;0
146,0963;0
146,1183;0
146,1283;0
146,148;0
146,1581;0
146,1714;0
146,181;0
146,1937;0
146,2069;0
146,2212;0
146,2338;0
146,2473;0
146,2598;0
146,2726;0
146,2857;0
146,2989;0
146,3116;0
146,324;0
146,3368;0
146,3491;0
146,3616;0
146,3756;0
146,3875;0
146,3994;0
146,412;0
146,4247;0
146,4372;0
146,4516;0
146,4634;0
146,475;0
146,4877;0
146,5021;0
146,5122;0
146,5243;0
146,5376;0
146,5497;0
146,5622;0
146,5748;0
146,5872;0
146,5999;0
146,6124;0
146,6248;0
146,6373;0
146,6504;0
146,663;0
146,6752;0
146,6879;0
146,7003;0
146,7127;0
146,7253;0
146,7379;0
146,7502;0
146,7626;0
146,7762;0
146,788;0
146,8005;0
146,813;0
146,8257;0
146,8382;0
146,8504;0
146,863;0
146,8754;0
146,8883;0
146,901;0
146,9128;0
146,9254;0
146,9386;0
146,9512;0
146,963;0
146,9755;0
146,9885;0
147,0006;0
147,0133;0
147,0258;0
147,0399;0
147,0509;0
147,0633;0
147,0753;0
147,0877;0
147,1006;0
147,1133;0
147,1259;0
147,1381;0
147,1507;0
147,1628;0
147,1766;0
147,1882;0
147,2008;0
147,2133;0
147,2257;0
147,2382;0
147,2509;0
147,2634;0
147,2758;0
147,2888;0
147,3011;0
147,3135;0
147,3258;0
147,3384;0
147,3512;0
147,3634;0
147,3761;0
147,3884;0
147,4009;0
147,4135;0
147,4258;0
147,4385;0
147,4517;0
147,4637;0
147,476;0
147,4886;0
147,5013;0
147,5139;0
147,5263;0
147,5385;0
147,5513;0
147,5636;0
147,5768;0
147,5888;0
147,601;0
147,6142;0
147,6283;0
147,6383;0
147,6508;0
147,6634;0
147,6757;0
147,689;0
147,7017;0
147,7183;0
147,7294;0
147,7401;0
147,753;0
147,7645;0
147,7764;0
147,7888;0
147,8013;0
147,8138;0
147,8264;0
147,8387;0
147,8514;0
147,8639;0
147,8761;0
147,8883;0
147,9016;0
147,9135;0
147,9269;0
147,9388;0
147,9591;0
147,9771;0
147,9899;0
148,0017;0
148,0143;0
148,0266;0
148,0392;0
148,0513;0
148,0636;0
148,0761;0
148,0891;0
148,1012;0
148,1136;0
148,1262;0
148,1391;0
148,1517;0
148,1634;0
148,1762;0
148,1884;0
148,2007;0
148,2136;0
148,2259;0
148,2385;0
148,2515;0
148,2636;0
148,2758;0
148,2886;0
148,3012;0
148,3139;0
148,3288;0
148,341;0
148,3521;0
148,3626;0
148,3756;0
148,3878;0
148,4002;0
148,4135;0
148,4255;0
148,4378;0
148,4505;0
148,463;0
148,4757;0
148,4894;0
148,5011;0
148,5132;0
148,5259;0
148,5391;0
148,5515;0
148,5636;0
148,5756;0
148,5884;0
148,6008;0
148,6148;0
148,6263;0
148,6384;0
148,6515;0
148,6637;0
148,6762;0
148,6887;0
148,7015;0
148,7139;0
148,7273;0
148,739;0
148,7509;0
148,7636;0
148,7769;0
148,7887;0
148,8013;0
148,8145;0
148,8266;0
148,8389;0
148,8511;0
148,8636;0
148,8767;0
148,8891;0
148,9017;0
148,9137;0
148,9282;0
148,9391;0
148,9512;0
148,9635;0
148,9763;0
148,9925;0
149,0038;0
149,0132;0
149,0254;0
149,0379;0
149,0507;0
149,0631;0
149,0756;0
149,088;0
149,101;0
149,1133;0
149,1261;0
149,1383;0
149,1508;0
149,1636;0
149,1762;0
149,1891;0
149,2011;0
149,2141;0
149,2263;0
149,2387;0
149,2511;0
149,2638;0
149,2762;0
149,2894;0
149,3017;0
149,3136;0
149,3264;0
149,3394;0
149,3519;0
149,3642;0
149,3768;0
149,389;0
149,4019;0
149,4147;0
149,4273;0
149,4396;0
149,4524;0
149,466;0
149,4767;0
149,4889;0
149,5024;0
149,5161;0
149,5264;0
149,5386;0
149,5511;0
149,5635;0
149,5762;0
149,5889;0
149,601;0
149,6138;0
149,6266;0
149,6386;0
149,6512;0
149,664;0
149,6766;0
149,6892;0
149,7016;0
149,7137;0
149,7261;0
149,7397;0
149,7522;0
149,7656;0
149,7784;0
149,7894;0
149,8007;0
149,8133;0
149,8261;0
149,8385;0
149,851;0
149,8638;0
149,876;0
149,8887;0
149,9014;0
149,9147;0
149,9274;0
149,9403;0
149,951;0
149,9633;0
149,9766;0
149,9887;0
150,001;0
150,0144;0
150,0263;0
150,0386;0
150,0511;0
150,064;0
150,0766;0
150,0896;0
150,103;0
150,1137;0
150,1263;0
150,1396;0
150,1513;0
150,1639;0
150,1763;0
150,1889;0
150,2012;0
150,2144;0
150,2264;0
150,239;0
150,2519;0
150,2645;0
150,2764;0
150,2889;0
150,3018;0
150,3145;0
150,3267;0
150,3391;0
150,352;0
150,3641;0
150,3769;0
150,3898;0
150,4023;0
150,4151;0
150,4268;0
150,439;0
150,4513;0
150,4663;0
150,4769;0
150,4891;0
150,5015;0
150,5139;0
150,5261;0
150,5396;0
150,5515;0
150,5639;0
150,5765;0
150,5889;0
150,6012;0
150,6143;0
150,627;0
150,6392;0
150,6516;0
150,6644;0
150,6765;0
150,6889;0
150,7019;0
150,7145;0
150,7275;0
150,7394;0
150,7517;0
150,7641;0
150,7773;0
150,7897;0
150,8018;0
150,8145;0
150,8265;0
150,839;0
150,8521;0
150,8655;0
150,8785;0
150,8896;0
150,9015;0
150,914;0
150,9265;0
150,9398;0
150,9516;0
150,9641;0
150,9767;0
150,9896;0
151,0018;0
151,0149;0
151,0269;0
151,0394;0
151,0519;0
151,0663;0
151,0784;0
151,0889;0
151,1022;0
151,1138;0
151,1264;0
151,1392;0
151,1521;0
151,1641;0
151,1773;0
151,1892;0
151,2014;0
151,2142;0
151,2267;0
151,2394;0
151,2518;0
151,2646;0
151,277;0
151,2898;0
151,302;0
151,3146;0
151,3268;0
151,3395;0
151,3523;0
151,3646;0
151,3773;0
151,3894;0
151,4019;0
151,4155;0
151,4272;0
151,4393;0
151,4521;0
151,4648;0
151,4773;0
151,49;0
151,5037;0
151,5169;0
151,5275;0
151,5395;0
151,5531;0
151,5638;0
151,5772;0
151,5891;0
151,6013;0
151,6147;0
151,6267;0
151,6393;0
151,6534;0
151,6662;0
151,6792;0
151,6896;0
151,7008;0
151,7131;0
151,726;0
151,739;0
151,7512;0
151,7636;0
151,7762;0
151,7889;0
151,8011;0
151,8142;0
151,8264;0
151,8391;0
151,8524;0
151,8645;0
151,8765;0
151,8893;0
151,9019;0
151,9142;0
151,9269;0
151,9392;0
151,9517;0
151,9642;0
151,9769;0
151,9894;0
152,0016;0
152,0147;0
152,0268;0
152,0395;0
152,0519;0
152,0646;0
152,077;0
152,0901;0
152,1026;0
152,1143;0
152,1311;0
152,1441;0
152,1548;0
152,1669;0
152,1788;0
152,193;0
152,2034;0
152,2174;0
152,23;0
152,2411;0
152,254;0
152,2657;0
152,2784;0
152,29;0
152,3023;0
152,3151;0
152,3274;0
152,3397;0
152,3522;0
152,3645;0
152,3773;0
152,3893;0
152,4015;0
152,4149;0
152,4268;0
152,439;0
152,4519;0
152,4643;0
152,4768;0
152,4895;0
152,5022;0
152,5143;0
152,5268;0
152,5394;0
152,5519;0
152,5642;0
152,5768;0
152,5893;0
152,6018;0
152,6147;0
152,6267;0
152,6391;0
152,6526;0
152,6665;0
152,677;0
152,6889;0
152,7015;0
152,7142;0
152,7267;0
152,739;0
152,7515;0
152,7641;0
152,7767;0
152,7891;0
152,8014;0
152,8148;0
152,8268;0
152,8391;0
152,8516;0
152,8644;0
152,8767;0
152,8899;0
152,9017;0
152,9144;0
152,9265;0
152,9394;0
152,9524;0
152,9644;0
152,9769;0
152,9891;0
153,0016;0
153,015;0
153,0268;0
153,0393;0
153,0525;0
153,0654;0
153,0781;0
153,0892;0
153,1016;0
153,1142;0
153,127;0
153,1392;0
153,1517;0
153,1641;0
153,1777;0
153,1898;0
153,202;0
153,2149;0
153,2272;0
153,24;0
153,2519;0
153,2645;0
153,277;0
153,2899;0
153,302;0
153,3144;0
153,3321;0
153,3432;0
153,3536;0
153,3691;0
153,3799;0
153,3926;0
153,405;0
153,4171;0
153,4315;0
153,4421;0
153,4552;0
153,4672;0
153,4787;0
153,4911;0
153,5035;0
153,5159;0
153,5288;0
153,5403;0
153,5522;0
153,5648;0
153,5776;0
153,5901;0
153,6018;0
153,6145;0
153,627;0
153,6394;0
153,6521;0
153,6646;0
153,6768;0
153,6902;0
153,7027;0
153,7141;0
153,7267;0
153,7393;0
153,7522;0
153,7644;0
153,7769;0
153,7891;0
153,8016;0
153,8145;0
153,8265;0
153,8394;0
153,8522;0
153,8657;0
153,8782;0
153,8889;0
153,9019;0
153,9144;0
153,9267;0
153,939;0
153,9512;0
153,9641;0
153,9791;0
153,9896;0
154,0015;0
154,0146;0
154,027;0
154,0395;0
154,0514;0
154,0645;0
154,0765;0
154,0896;0
154,1019;0
154,1141;0
154,1268;0
154,1393;0
154,152;0
154,1643;0
154,1767;0
154,1895;0
154,2017;0
154,215;0
154,2269;0
154,2394;0
154,2522;0
154,2645;0
154,2769;0
154,2893;0
154,3021;0
154,3144;0
154,3271;0
154,3399;0
154,3521;0
154,3643;0
154,3779;0
154,3899;0
154,402;0
154,4148;0
154,429;0
154,4395;0
154,4516;0
154,4642;0
154,4767;0
154,4917;0
154,5049;0
154,5171;0
154,5273;0
154,5388;0
154,551;0
154,5635;0
154,5759;0
154,5886;0
154,6011;0
154,614;0
154,6262;0
154,6389;0
154,6519;0
154,6642;0
154,6764;0
154,6891;0
154,7016;0
154,7148;0
154,7271;0
154,7393;0
154,7515;0
154,7643;0
154,7774;0
154,7894;0
154,8014;0
154,8147;0
154,827;0
154,8399;0
154,852;0
154,8645;0
154,8771;0
154,8899;0
154,9022;0
154,9146;0
154,9272;0
154,9398;0
154,9525;0
